Image,Straw_ID,Length_mm,Shape,Overlap_Detected,Reconstructed,Confidence,Detection_Source,YOLO_Conf,Endpoint_Method,Skeleton_Pixels,Path_Euclidean_Ratio,Pixel_to_mm_Used,Pixel_to_mm
IMG_2733.jpg,1,342.225,Straight,False,False,HIGH,yolo,0.896,bfs,540,,0.5579540406553007,0.557954
IMG_2733.jpg,2,106.534,Straight,False,False,HIGH,yolo,0.896,bfs,153,,0.5579540406553007,0.557954
IMG_2733.jpg,3,42.755,Straight,False,False,HIGH,yolo,0.892,bfs,71,,0.5579540406553007,0.557954
IMG_2733.jpg,4,248.704,Straight,False,False,HIGH,yolo,0.891,bfs,414,,0.5579540406553007,0.557954
IMG_2733.jpg,5,190.874,Straight,False,False,HIGH,yolo,0.866,bfs,465,,0.5579540406553007,0.557954
IMG_2733.jpg,6,120.42,Straight,False,False,HIGH,yolo,0.853,bfs,266,,0.5579540406553007,0.557954
IMG_2733.jpg,7.0,15.893,Curved,True,True,RECONSTRUCTED,yolo,0.773,,27,1.1533,0.5579540406553007,0.557954
IMG_2733.jpg,7.1,11.334,Curved,True,True,RECONSTRUCTED,yolo,0.773,,18,1.4935,0.5579540406553007,0.557954
IMG_2733.jpg,8.0,10.776,Curved,True,True,RECONSTRUCTED,yolo,0.716,,17,1.1041,0.5579540406553007,0.557954
